threshold,recall_combined,recall_fatal,recall_injury,precision,f1,flag_rate,feasible
0.05,1.0,1.0,1.0,0.0291,0.0565,1.0,False
0.06,1.0,1.0,1.0,0.0291,0.0565,1.0,False
0.07,1.0,1.0,1.0,0.0291,0.0565,1.0,False
0.08,1.0,1.0,1.0,0.0291,0.0565,1.0,False
0.09,1.0,1.0,1.0,0.0291,0.0565,1.0,False
0.1,1.0,1.0,1.0,0.0291,0.0565,1.0,False
0.11,1.0,1.0,1.0,0.0291,0.0565,1.0,False
0.12,1.0,1.0,1.0,0.0291,0.0565,1.0,False
0.13,1.0,1.0,1.0,0.0291,0.0565,0.9999,False
0.14,1.0,1.0,1.0,0.0291,0.0565,0.9999,False
0.15,1.0,1.0,1.0,0.0291,0.0565,0.9998,False
0.16,1.0,1.0,1.0,0.0291,0.0565,0.9998,False
0.17,0.9997,1.0,0.9996,0.0291,0.0565,0.9997,False
0.18,0.9997,1.0,0.9996,0.0291,0.0565,0.9994,False
0.19,0.9997,1.0,0.9996,0.0291,0.0566,0.9988,False
0.2,0.9997,1.0,0.9996,0.0291,0.0566,0.9974,False
0.21,0.9978,0.998,0.9978,0.0293,0.057,0.9888,False
0.22,0.9716,0.964,0.972,0.0307,0.0596,0.9194,False
0.23,0.966,0.956,0.9664,0.031,0.06,0.9072,False
0.24,0.9099,0.902,0.9103,0.0323,0.0625,0.8181,False
0.25,0.9034,0.888,0.9041,0.0326,0.063,0.8051,False
0.26,0.9027,0.888,0.9034,0.0327,0.0632,0.802,False
0.27,0.8923,0.878,0.893,0.0334,0.0645,0.776,False
0.28,0.8657,0.852,0.8663,0.0346,0.0666,0.7267,False
0.29,0.8557,0.84,0.8564,0.0352,0.0676,0.7076,False
0.3,0.8167,0.772,0.8187,0.0363,0.0695,0.6543,False
0.31,0.7865,0.684,0.7911,0.0377,0.072,0.606,False
0.32,0.7861,0.684,0.7907,0.0379,0.0723,0.6036,False
0.33,0.7817,0.674,0.7866,0.0382,0.0728,0.5954,False
0.34,0.763,0.674,0.7671,0.0392,0.0746,0.5662,False
0.35,0.7469,0.656,0.7511,0.0401,0.0761,0.5415,False
0.36,0.734,0.656,0.7375,0.0405,0.0768,0.5266,False
0.37,0.702,0.616,0.7059,0.0419,0.0791,0.4869,False
0.38,0.681,0.594,0.6849,0.0432,0.0812,0.4585,False
0.39,0.6782,0.59,0.6822,0.0432,0.0813,0.4563,False
0.4,0.6742,0.59,0.678,0.0436,0.0818,0.4501,False
0.41,0.6626,0.59,0.6659,0.0446,0.0836,0.4317,False
0.42,0.6481,0.59,0.6507,0.0457,0.0853,0.4127,False
0.43,0.6438,0.578,0.6468,0.0464,0.0865,0.4038,False
0.44,0.6252,0.562,0.628,0.0477,0.0886,0.3814,False
0.45,0.6012,0.536,0.6042,0.049,0.0906,0.3567,False
0.46,0.6005,0.536,0.6034,0.0494,0.0913,0.3536,False
0.47,0.5977,0.536,0.6005,0.0495,0.0915,0.3509,False
0.48,0.587,0.534,0.5894,0.05,0.0921,0.3415,False
0.49,0.5724,0.512,0.5751,0.0516,0.0946,0.3228,False
0.5,0.5688,0.508,0.5716,0.0521,0.0955,0.3172,False
0.51,0.556,0.496,0.5588,0.0528,0.0965,0.306,False
0.52,0.5378,0.456,0.5415,0.0551,0.0999,0.284,True
0.53,0.5294,0.454,0.5328,0.0559,0.1012,0.2752,True
0.54,0.5289,0.454,0.5322,0.0562,0.1016,0.2737,True
0.55,0.5246,0.454,0.5278,0.0564,0.1018,0.2707,True
0.56,0.5142,0.44,0.5176,0.0576,0.1036,0.2595,True
0.57,0.5064,0.426,0.5101,0.0591,0.1059,0.249,True
0.58,0.4999,0.42,0.5035,0.0594,0.1062,0.2447,True
0.59,0.4817,0.4,0.4854,0.0609,0.1081,0.2301,True
0.6,0.4672,0.384,0.471,0.063,0.111,0.2158,True
0.61,0.4653,0.382,0.4691,0.0635,0.1117,0.2131,True
0.62,0.4621,0.378,0.4659,0.0639,0.1123,0.2102,True
0.63,0.454,0.362,0.4582,0.0653,0.1142,0.2021,True
0.64,0.4426,0.346,0.4469,0.0663,0.1153,0.1942,True
0.65,0.4358,0.324,0.4409,0.0671,0.1162,0.189,True
0.66,0.4226,0.308,0.4278,0.0686,0.1181,0.1791,True
0.67,0.4168,0.292,0.4224,0.0709,0.1212,0.171,True
0.68,0.4125,0.292,0.418,0.0712,0.1214,0.1685,True
0.69,0.4075,0.284,0.4131,0.0717,0.1219,0.1653,True
0.7,0.4018,0.284,0.4071,0.0741,0.1251,0.1577,True
0.71,0.3974,0.284,0.4025,0.076,0.1275,0.1521,True
0.72,0.3921,0.284,0.397,0.0784,0.1306,0.1455,True
0.73,0.377,0.268,0.3819,0.0806,0.1328,0.1361,True
0.74,0.3739,0.268,0.3787,0.0814,0.1337,0.1336,True
0.75,0.3684,0.266,0.373,0.0821,0.1343,0.1305,True
0.76,0.3605,0.252,0.3654,0.0847,0.1372,0.1238,True
0.77,0.3553,0.244,0.3603,0.0862,0.1388,0.1198,True
0.78,0.3423,0.21,0.3483,0.089,0.1413,0.1119,True
0.79,0.3377,0.208,0.3436,0.0911,0.1434,0.1078,True
0.8,0.3356,0.208,0.3414,0.0924,0.1449,0.1056,True
0.81,0.3308,0.208,0.3363,0.0945,0.147,0.1018,True
0.82,0.3233,0.194,0.3292,0.0961,0.1481,0.0979,True
0.83,0.3163,0.182,0.3224,0.099,0.1508,0.0929,True
0.84,0.3107,0.176,0.3168,0.1002,0.1515,0.0902,True
0.85,0.3054,0.176,0.3113,0.1024,0.1534,0.0867,True
0.86,0.2975,0.15,0.3042,0.106,0.1564,0.0816,True
0.87,0.2868,0.134,0.2937,0.1093,0.1583,0.0763,True
0.88,0.2836,0.134,0.2904,0.1113,0.1598,0.0741,True
0.89,0.2764,0.134,0.2829,0.114,0.1614,0.0705,True
0.9,0.268,0.126,0.2744,0.1176,0.1635,0.0662,True
0.91,0.2665,0.126,0.2728,0.1211,0.1665,0.064,True
0.92,0.2594,0.108,0.2662,0.1269,0.1704,0.0594,True
0.93,0.2519,0.09,0.2592,0.1323,0.1735,0.0554,True
0.94,0.2404,0.084,0.2475,0.1362,0.1739,0.0513,True
